HPD (x mm),10,15
0,0,0
0.5,1.5,0.1
1,12.2,0.4
1.5,24.9,1.1
2,38.7,3.1
2.5,50.8,6.8
3,57.8,11.5
3.5,59.3,16.3
4,55,22.3
4.5,49.5,26.6
5,31.3,30
5.5,14.3,31.9
6,4.8,31
6.5,1.1,29.3
7,0.1,25
7.5,0,19
8,,12.8
8.5,,7.7
9,,4.5
9.5,,2.6
10,,1.4
10.5,,0.8
11,,0.4
11.5,,0.2
12,,0
